"outer_iter","noise_sigma","method","reject_rate","source_dir"
3,0.4,"layer1_pool2x2_gaussian5",0.17,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
3,0.6,"layer1_pool2x2_gaussian5",0.1,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
3,0.8,"layer1_pool2x2_gaussian5",0.084,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
3,1,"layer1_pool2x2_gaussian5",0.102,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
4,0,"layer1_pool2x2_gaussian5",0.226,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
4,0.2,"layer1_pool2x2_gaussian5",0.208,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
4,0.4,"layer1_pool2x2_gaussian5",0.116,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
4,0.6,"layer1_pool2x2_gaussian5",0.088,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
4,0.8,"layer1_pool2x2_gaussian5",0.112,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
4,1,"layer1_pool2x2_gaussian5",0.084,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
5,0,"layer1_pool2x2_gaussian5",0.206,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
5,0.2,"layer1_pool2x2_gaussian5",0.176,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
5,0.4,"layer1_pool2x2_gaussian5",0.13,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
5,0.6,"layer1_pool2x2_gaussian5",0.124,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
5,0.8,"layer1_pool2x2_gaussian5",0.118,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
5,1,"layer1_pool2x2_gaussian5",0.09,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
6,0,"layer1_pool2x2_gaussian5",0.214,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
6,0.2,"layer1_pool2x2_gaussian5",0.18,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
6,0.4,"layer1_pool2x2_gaussian5",0.162,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
6,0.6,"layer1_pool2x2_gaussian5",0.11,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
6,0.8,"layer1_pool2x2_gaussian5",0.098,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
6,1,"layer1_pool2x2_gaussian5",0.068,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
7,0,"layer1_pool2x2_gaussian5",0.2,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
7,0.2,"layer1_pool2x2_gaussian5",0.166,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
7,0.4,"layer1_pool2x2_gaussian5",0.158,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
7,0.6,"layer1_pool2x2_gaussian5",0.116,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
7,0.8,"layer1_pool2x2_gaussian5",0.074,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
7,1,"layer1_pool2x2_gaussian5",0.074,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
8,0,"layer1_pool2x2_gaussian5",0.19,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
8,0.2,"layer1_pool2x2_gaussian5",0.174,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
8,0.4,"layer1_pool2x2_gaussian5",0.132,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
8,0.6,"layer1_pool2x2_gaussian5",0.096,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
8,0.8,"layer1_pool2x2_gaussian5",0.104,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
8,1,"layer1_pool2x2_gaussian5",0.086,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
9,0,"layer1_pool2x2_gaussian5",0.258,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
9,0.2,"layer1_pool2x2_gaussian5",0.206,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
9,0.4,"layer1_pool2x2_gaussian5",0.186,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
9,0.6,"layer1_pool2x2_gaussian5",0.126,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
9,0.8,"layer1_pool2x2_gaussian5",0.102,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
9,1,"layer1_pool2x2_gaussian5",0.07,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
10,0,"layer1_pool2x2_gaussian5",0.236,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
10,0.2,"layer1_pool2x2_gaussian5",0.186,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
10,0.4,"layer1_pool2x2_gaussian5",0.154,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
10,0.6,"layer1_pool2x2_gaussian5",0.162,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
10,0.8,"layer1_pool2x2_gaussian5",0.11,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
10,1,"layer1_pool2x2_gaussian5",0.064,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
1,0,"layer2_gaussian5",0.942,"faster_mnist_cnn_layer2_gaussian5_power"
1,0.2,"layer2_gaussian5",0.79,"faster_mnist_cnn_layer2_gaussian5_power"
1,0.4,"layer2_gaussian5",0.286,"faster_mnist_cnn_layer2_gaussian5_power"
1,0.6,"layer2_gaussian5",0.124,"faster_mnist_cnn_layer2_gaussian5_power"
1,0.8,"layer2_gaussian5",0.074,"faster_mnist_cnn_layer2_gaussian5_power"
1,1,"layer2_gaussian5",0.07,"faster_mnist_cnn_layer2_gaussian5_power"
2,0,"layer2_gaussian5",0.932,"faster_mnist_cnn_layer2_gaussian5_power"
2,0.2,"layer2_gaussian5",0.778,"faster_mnist_cnn_layer2_gaussian5_power"
2,0.4,"layer2_gaussian5",0.342,"faster_mnist_cnn_layer2_gaussian5_power"
2,0.6,"layer2_gaussian5",0.108,"faster_mnist_cnn_layer2_gaussian5_power"
2,0.8,"layer2_gaussian5",0.062,"faster_mnist_cnn_layer2_gaussian5_power"
2,1,"layer2_gaussian5",0.062,"faster_mnist_cnn_layer2_gaussian5_power"
3,0,"layer2_gaussian5",0.946,"faster_mnist_cnn_layer2_gaussian5_power"
3,0.2,"layer2_gaussian5",0.73,"faster_mnist_cnn_layer2_gaussian5_power"
3,0.4,"layer2_gaussian5",0.352,"faster_mnist_cnn_layer2_gaussian5_power"
3,0.6,"layer2_gaussian5",0.142,"faster_mnist_cnn_layer2_gaussian5_power"
3,0.8,"layer2_gaussian5",0.07,"faster_mnist_cnn_layer2_gaussian5_power"
3,1,"layer2_gaussian5",0.08,"faster_mnist_cnn_layer2_gaussian5_power"
4,0,"layer2_gaussian5",0.912,"faster_mnist_cnn_layer2_gaussian5_power"
4,0.2,"layer2_gaussian5",0.784,"faster_mnist_cnn_layer2_gaussian5_power"
4,0.4,"layer2_gaussian5",0.344,"faster_mnist_cnn_layer2_gaussian5_power"
4,0.6,"layer2_gaussian5",0.088,"faster_mnist_cnn_layer2_gaussian5_power"
4,0.8,"layer2_gaussian5",0.076,"faster_mnist_cnn_layer2_gaussian5_power"
4,1,"layer2_gaussian5",0.066,"faster_mnist_cnn_layer2_gaussian5_power"
5,0,"layer2_gaussian5",0.928,"faster_mnist_cnn_layer2_gaussian5_power"
5,0.2,"layer2_gaussian5",0.76,"faster_mnist_cnn_layer2_gaussian5_power"
